iter	Passed	Remaining
0	59	59291
1	59	29777
2	60	20012
3	60	15142
4	61	12180
5	61	10204
6	61	8781
7	62	7714
8	62	6891
9	62	6224
10	63	5680
11	63	5230
12	63	4844
13	64	4515
14	64	4231
15	64	3979
16	64	3757
17	65	3561
18	65	3382
19	65	3224
20	66	3083
21	66	2953
22	66	2836
23	67	2729
24	67	2628
25	67	2534
26	67	2449
27	68	2369
28	68	2294
29	68	2224
30	69	2158
31	69	2098
32	69	2040
33	69	1987
34	70	1935
35	70	1889
36	70	1844
37	71	1800
38	71	1758
39	71	1720
40	72	1684
41	72	1650
42	72	1617
43	72	1584
44	73	1553
45	73	1524
46	73	1497
47	74	1470
48	74	1445
49	74	1421
50	75	1398
51	75	1377
52	75	1355
53	76	1334
54	76	1315
55	76	1295
56	77	1275
57	77	1257
58	77	1238
59	77	1221
60	78	1204
61	78	1187
62	78	1171
63	79	1157
64	79	1142
65	79	1129
66	80	1115
67	80	1102
68	80	1089
69	81	1076
70	81	1063
71	81	1052
72	81	1040
73	82	1029
74	82	1018
75	82	1007
76	83	996
77	83	985
78	83	974
79	84	971
80	84	962
81	85	952
82	85	941
83	85	932
84	85	923
85	86	914
86	86	905
87	86	897
88	86	889
89	87	881
90	87	875
91	87	867
92	88	860
93	88	852
94	88	845
95	89	838
96	89	831
97	89	824
98	89	818
99	90	812
100	90	805
101	90	800
102	91	794
103	91	789
104	92	784
105	92	779
106	92	773
107	92	767
108	93	763
109	93	757
110	93	752
111	94	746
112	94	741
113	94	736
114	95	731
115	95	726
116	95	721
117	95	717
118	96	712
119	96	707
120	96	703
121	97	698
122	97	693
123	97	689
124	97	685
125	98	680
126	98	676
127	98	671
128	98	667
129	99	663
130	99	660
131	99	656
132	100	653
133	100	649
134	100	645
135	101	641
136	101	638
137	101	635
138	102	632
139	102	628
140	102	625
141	102	621
142	103	617
143	103	614
144	103	611
145	103	607
146	104	604
147	104	602
148	104	599
149	105	596
150	105	593
151	105	590
152	106	587
153	106	584
154	106	581
155	107	579
156	107	576
157	107	573
158	107	570
159	108	567
160	108	564
161	108	562
162	109	559
163	109	557
164	109	555
165	109	552
166	110	549
167	110	547
168	110	544
169	111	542
170	111	539
171	111	537
172	111	535
173	112	533
174	112	530
175	112	528
176	113	527
177	113	525
178	114	523
179	114	521
180	114	519
181	115	516
182	115	514
183	115	512
184	115	510
185	116	508
186	116	506
187	116	504
188	117	502
189	117	500
190	117	498
191	118	496
192	118	494
